Kanji;Kana;Romaji;Translation;Part of Speech
共通点;きょうつうてん;kyoutsuuten;point in common, common feature​;Noun
級;きゅう;kyuu;class (school, grade, rank;Noun, Counter
急に;きゅうに;kyuu ni;swiftly, rapidly;Adverb (fukushi)
急激;きゅうげき;kyuugeki;sudden, radical;Na-adjective (keiyodoshi)
休日;きゅうじつ;kyuujitsu;holiday, day off​;Noun
救助;きゅうじょ;kyuujo;relief, aid;Noun, Suru verb, Transitive verb
休暇;きゅうか;kyuuka;holiday, day off;Noun
休憩;きゅうけい;kyuukei;rest, break, recess;Noun, Suru verb, Intransitive verb
給料;きゅうりょう;kyuuryou;salary, wages;Noun
吸収;きゅうしゅう;kyuushuu;absorption;Noun, Suru verb, Transitive verb
急速;きゅうそく;kyuusoku;rapid (progress);Na-adjective (keiyodoshi), Noun
眩しい;まぶしい;mabushii;dazzling, radiant​;I-adjective (keiyoushi)
間違い;まちがい;machigai;mistake, error, blunder;Noun
間違う;まちがう;machigau;to make a mistake;Godan verb with 'u' ending, Intransitive verb
窓口;まどぐち;madoguchi;ticket window, counter;Noun
孫;まご;mago;grandchild;Noun
迷子;まいご;maigo;lost child, lost person;Noun
任せる;まかせる;makaseru;to entrust, to leave to;Ichidan verb, Transitive verb
負け;まけ;make;defeat, loss;Noun
幕;まく;maku;curtain;Noun
豆;まめ;mame;beans;Noun
守る;まもる;mamoru;to protect, to guard;Godan verb with 'ru' ending, Transitive verb
学ぶ;まなぶ;manabu;to study, to learn;Godan verb with 'bu' ending, Transitive verb
真似;まね;mane;imitating, copying;Noun, Suru verb
招く;まねく;maneku;to invite, to ask;Godan verb with 'ku' ending, Transitive verb
万一;まんいち;man’ichi;by some chance;Noun
満点;まんてん;manten;perfect score, full marks​;Noun
満足;まんぞく;manzoku;satisfaction, contentment;Noun, Na-adjective (keiyodoshi), Suru verb
丸;まる;maru;circle;Noun
真逆;まさか;masaka;by no means, never;
正に;まさに;masa ni;exactly, surely;Adverb (fukushi)
増す;ます;masu;to increase, to grow;Godan verb with 'su' ending, Intransitive verb, Transitive verb
回り;まわり;mawari;rotation;Noun
回す;まわす;mawasu;to turn, to rotate;Godan verb with 'su' ending, Transitive verb
迷う;まよう;mayou;to lose one’s way;Godan verb with 'u' ending, Intransitive verb
先ず;まず;mazu;first of all, to start with;Adverb (fukushi)
混ぜる;まぜる;mazeru;to mix, to stir;Ichidan verb, Transitive verb
貧しい;まずしい;mazushii;poor;I-adjective (keiyoushi)
命じる;めいじる;meijiru;to order, to command;Ichidan verb, Transitive verb
明確;めいかく;meikaku;clear, precise;Na-adjective (keiyodoshi)
命令;めいれい;meirei;order, command;Noun, Suru verb, Transitive verb
迷惑;めいわく;meiwaku;trouble, bother, annoyance;Noun, Na-adjective (keiyodoshi)
面;めん;men;face, mask;Noun
綿;めん;men;cotton;Noun
面倒;めんどう;mendou;trouble, care;Noun, Na-adjective (keiyodoshi)
免許;めんきょ;menkyo;license, permit;Noun, Suru verb, Transitive verb
免許証;めんきょしょう;menkyoshou;license, permit;Noun
面接;めんせつ;mensetsu;interview (e.g. for a job)​;Noun, Suru verb, Intransitive verb
飯;めし;meshi;cooked rice, meal;Noun
目覚まし時計;めざましどけい;mezamashidokei;alarm clock​;Noun
身;み;mi;body, oneself;Noun
実;み;mi;fruit, nut;Noun, Noun which may take the genitive case particle 'no'
身につける;みにつける;minitsukeru;to learn, to acquire knowledge​;Expressions (phrases, clauses, etc.), Ichidan verb;учиться, приобретать знания, носить (одежду и т. п.), надеть
満ちる;みちる;michiru;to be full;Ichidan verb, Intransitive verb
身近;みぢか;midjika;near oneself, close to one;Na-adjective (keiyodoshi), Noun
見事;みごと;migoto;splendid, magnificent;Na-adjective (keiyodoshi), Adverb (fukushi)
味方;みかた;mikata;friend, ally;Noun, Noun which may take the genitive case particle 'no'
見舞い;みまい;mimai;visiting ill or distressed people;Noun
未満;みまん;miman;less than, insufficient​;Noun, used as a suffix, Noun, Adverb (fukushi)
見送り;みおくり;miokuri;seeing one off;Noun
見送る;みおくる;miokuru;to see someone off;Godan verb with 'ru' ending, Transitive verb
未来;みらい;mirai;the future;Noun
魅力;みりょく;miryoku;charm, fascination;Noun
認める;みとめる;mitomeru;to accept, to admit;Ichidan verb, Transitive verb
見つめる;みつめる;mitsumeru;to stare at, to gaze at;Ichidan verb, Transitive verb
土産;みやげ;miyage;present, souvenir;Noun
都;みやこ;miyako;capital, metropolis;Noun
持上げる;もちあげる;mochiageru;to elevate, to raise;Ichidan verb, Transitive verb
持ち運び;もちはこび;mochihakobi;carrying;Noun
用いる;もちいる;mochiiru;to use, to make use of;Ichidan verb, Transitive verb
持ち物;もちもの;mochimono;personal effects, one’s belongings​;Noun
戻す;もどす;modosu;to put back, to give back;Godan verb with 'su' ending, Transitive verb
燃える;もえる;moeru;to burn, to get fired up;Ichidan verb, Intransitive verb
文字;もじ;moji;letter (of alphabet);Noun
目標;もくひょう;mokuhyou;objective, target;Noun
目的;もくてき;mokuteki;goal, purpose, aim;Noun
文句;もんく;monku;complaint, grumbling;Noun
者;もの;mono;person;Noun
物語;ものがたり;monogatari;tale, story;Noun
物事;ものごと;monogoto;things, everything;Noun
物音;ものおと;monooto;sounds;Noun
盛り;さかり;mori;serving, helping;Noun, Noun, used as a suffix
元;もと;moto;origin, source, base;Noun
求める;もとめる;motomeru;to want, to wish for;Ichidan verb, Transitive verb
最も;もっとも;mottomo;most, extremely;Adverb (fukushi)
毛布;もうふ;moufu;blanket;Noun
申し込み;もうしこみ;moushikomi;application, entry;Noun
申込書;もうしこみしょ;moushikomisho;application form;Noun
申し込む;もうしこむ;moushikomu;to apply for;Godan verb with 'mu' ending, Transitive verb
申し訳;もうしわけ;moushiwake;apology, excuse;Noun, Suru verb
模様;もよう;moyou;pattern, design;Noun
夢中;むちゅう;muchuu;daze, ecstasy;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
無駄;むだ;muda;futility, uselessness;Noun, Na-adjective (keiyodoshi)
迎え;むかえ;mukae;meeting, greeting;Noun
向かい;むかい;mukai;facing, opposite;Noun, Noun which may take the genitive case particle 'no'
向ける;むける;mukeru;to turn toward, to point;Ichidan verb, Transitive verb
向く;むく;muku;to face, to turn toward;Godan verb with 'ku' ending, Transitive verb, Intransitive verb
剥く;むく;muku;to peel, to skin;Godan verb with 'ku' ending, Transitive verb
胸;むね;mune;chest, breast;Noun
無料;むりょう;muryou;free, no charge;Noun which may take the genitive case particle 'no', Noun
無視;むし;mushi;disregarding, ignoring;Noun, Suru verb, Transitive verb
虫歯;むしば;mushiba;cavity, tooth decay;Noun
結ぶ;むすぶ;musubu;to tie, to bind;Godan verb with 'bu' ending, Transitive verb
妙;みょう;myou;strange, unusual;Na-adjective (keiyodoshi), Noun
名;な;na;name, given name;Noun
鍋;なべ;nabe;saucepan, pot;Noun
撫でる;なでる;naderu;to stroke, to caress;Ichidan verb, Transitive verb
長生き;ながいき;nagaiki;longevity, long life​;Noun, Suru verb, Intransitive verb
眺め;ながめ;nagame;view, scene, prospect;Noun
眺める;ながめる;nagameru;to view, to gaze at;Ichidan verb, Transitive verb
流れ;ながれ;nagare;stream, current, flow;Noun
流れる;ながれる;nagareru;to stream, to flow;Ichidan verb, Intransitive verb
流す;ながす;nagasu;to drain, to shed;Godan verb with 'su' ending, Transitive verb
慰める;なぐさめる;nagusameru;to comfort, to console;Ichidan verb, Transitive verb
内緒;ないしょ;naisho;secrecy, confidentiality;Noun, Noun which may take the genitive case particle 'no'
内容;ないよう;naiyou;contents, matter;Noun
仲;なか;naka;relation, relationship;Noun
半ば;なかば;nakaba;middle, half;Noun, Noun, used as a suffix
仲間;なかま;nakama;fellow, companion;Noun
中身;なかみ;nakami;contents, interior;Noun
仲直り;なかなおり;nakanaori;reconciliation, make peace with​;Noun, Suru verb, Intransitive verb
生;なま;nama;raw, uncooked;Noun which may take the genitive case particle 'no', Noun
怠ける;なまける;namakeru;to be idle;Ichidan verb, Intransitive verb
波;なみ;nami;wave;Noun
涙;なみだ;namida;tears;Noun
直;なお;nao;straight, ordinary, common;Noun
情けない;なさけない;nasakenai;miserable, pitiable;I-adjective (keiyoushi)
納得;なっとく;nattoku;consent, assent;Noun, Suru verb, Transitive verb, Intransitive verb
懐かしい;なつかしい;natsukashii;missed, nostalgic​;I-adjective (keiyoushi)
縄;なわ;nawa;rope, cord;Noun
悩む;なやむ;nayamu;to be worried;Godan verb with 'mu' ending, Intransitive verb
謎;なぞ;nazo;riddle, puzzle, mystery;Noun
根;ね;ne;root, source, origin;Noun
熱中;ねっちゅう;necchuu;going nuts (over something);Noun, Suru verb, Intransitive verb
値段;ねだん;nedan;price, cost;Noun
願い;ねがい;negai;desire, wish;Noun
願う;ねがう;negau;to desire, to wish;Godan verb with 'u' ending, Transitive verb
年代;ねんだい;nendai;age, era, period;Noun
年中;ねんじゅう;nenjuu;whole year, all year round;Noun
年間;ねんかん;nenkan;years (period of);Noun, Adverb (fukushi)
年齢;ねんれい;nenrei;age, years;Noun
熱帯;ねったい;nettai;tropics;Noun
鼠;ねずみ;nezumi;mouse, rat;Noun
似合う;にあう;niau;to suit, to match;Godan verb with 'u' ending, Intransitive verb
日常;にちじょう;nichijou;ordinary, everyday;Noun which may take the genitive case particle 'no', Noun, Adverb (fukushi)
日中;にっちゅう;nicchuu;daytime, during the day;Noun, Adverb (fukushi)
日時;にちじ;nichiji;date and time​;Noun
日夜;にちや;nichiya;day and night, always, constantly;Adverb (fukushi), Noun
苦手;にがて;nigate;poor at, weak in;Na-adjective (keiyodoshi), Noun
握る;にぎる;nigiru;to grip, to grasp;Godan verb with 'ru' ending, Transitive verb
日本;にほん;nihon;Japan;Noun
日光;にっこう;nikkou;sunlight;Noun
人間;にんげん;ningen;human being, person;Noun
人気;にんき;ninki;popularity;Noun, Noun which may take the genitive case particle 'no'
人数;にんずう;ninzuu;the number of people​;Noun
日程;にってい;nittei;schedule, program;Noun
野;の;no;plain, field;Noun
伸ばす;のばす;nobasu;to grow long;Godan verb with 'su' ending, Transitive verb
述べる;のべる;noberu;to state, to express;Ichidan verb, Transitive verb
伸びる;のびる;nobiru;to stretch, to extend;Ichidan verb, Intransitive verb
軒;けん;noki;eaves;Noun
残り;のこり;nokori;remnant, residue;Noun, Noun which may take the genitive case particle 'no'
残す;のこす;nokosu;to leave (behind);Godan verb with 'su' ending, Transitive verb
乗せる;のせる;noseru;to place on;Ichidan verb, Transitive verb
能;のう;nou;talent, gift, function;Noun
農業;のうぎょう;nougyou;agriculture;Noun
農家;のうか;nouka;farmer, farm family;Noun
農民;のうみん;noumin;farmers, peasants;Noun, Noun which may take the genitive case particle 'no'
能力;のうりょく;nouryoku;ability;Noun
除く;のぞく;nozoku;to exclude, to except;Godan verb with 'ku' ending, Transitive verb
望み;のぞみ;nozomi;hope, desire, wish;Noun
望む;のぞむ;nozomu;to desire, to wish for;Godan verb with 'mu' ending, Transitive verb
抜ける;ぬける;nukeru;to come out, to fall out;Ichidan verb, Intransitive verb
抜く;ぬく;nuku;to extract, to omit;Godan verb with 'ku' ending, Transitive verb
布;ぬの;nuno;cloth;Noun
入学;にゅうがく;nyuugaku;matriculation;Noun, Suru verb, Intransitive verb
入院;にゅういん;nyuuin;hospitalization;Noun, Suru verb, Intransitive verb
入場;にゅうじょう;nyuujou;entrance, admission;Noun, Suru verb, Intransitive verb
入力;にゅうりょく;nyuuryoku;input, (data) entry​;Noun, Suru verb, Transitive verb
入社;にゅうしゃ;nyuusha;joining a company;Noun, Suru verb, Intransitive verb
溺れる;おぼれる;oboreru;to drown;Ichidan verb, Intransitive verb
帯;おび;obi;obi, kimono sash;Noun
落ち着く;おちつく;ochitsuku;to calm down, to compose oneself;Godan verb with 'ku' ending, Intransitive verb
穏やか;おだやか;odayaka;calm, gentle, quiet;Na-adjective (keiyodoshi)
終える;おえる;oeru;to finish;Ichidan verb, Transitive verb, Auxiliary verb
老い;おい;oi;old age, old person;Noun
丘;おか;oka;hill, height;Noun
沖;おき;oki;open sea;Noun
起こる;おこる;okoru;to occur, to happen;Godan verb with 'ru' ending, Intransitive verb
奥;おく;oku;inner part;Noun
贈る;おくる;okuru;to give (as a gift);Godan verb with 'ru' ending, Transitive verb
主に;おもに;omo ni;mainly, primarily;Adverb (fukushi)
思い出;おもいで;omoide;memories;Noun
思わず;おもわず;omowazu;unintentionally;Adverb (fukushi)
恩;おん;on;favor, debt of gratitude;Noun
温暖;おんだん;ondan;warm, mild;Na-adjective (keiyodoshi), Noun
温度;おんど;ondo;temperature;Noun
鬼;おに;oni;demon;Noun
温泉;おんせん;onsen;hot spring​;Noun
追い付く;おいつく;oitsuku;to catch up with;Godan verb with 'ku' ending, Intransitive verb
大雨;おおあめ;ooame;heavy rain​;Noun
大型;おおがた;oogata;large, larged-size;Noun which may take the genitive case particle 'no', Noun
大いに;おおいに;ooi ni;very, much, greatly;Adverb (fukushi)
覆う;おおう;oou;to cover, to conceal;Godan verb with 'u' ending, Transitive verb
大家;おおや;ooya;landlord, landlady;Noun
大雪;おおゆき;ooyuki;heavy snow​;Noun
下す;くだす;orosu;to lower, to drop;Godan verb with 'su' ending, Transitive verb
降ろす;おろす;orosu;to take down, to unload;Godan verb with 'su' ending, Transitive verb
収める;おさめる;osameru;to dedicate, to supply;Ichidan verb, Transitive verb
幼い;おさない;osanai;very young, childish;I-adjective (keiyoushi)
抑える;おさえる;osaeru;to restrain, to control;Ichidan verb, Transitive verb
汚染;おせん;osen;pollution, contamination;Noun, Suru verb, Transitive verb, Intransitive verb
劣る;おとる;otoru;to be inferior to;Godan verb with 'ru' ending, Intransitive verb
恐らく;おそらく;osoraku;perhaps, likely;Adverb (fukushi)
恐れる;おそれる;osoreru;to fear, to be afraid of;Ichidan verb, Transitive verb
恐ろしい;おそろしい;osoroshii;terrible, dreadful;I-adjective (keiyoushi)
追う;おう;ou;to chase, to run after;Godan verb with 'u' ending, Transitive verb
応募;おうぼ;oubo;application, enlistment;Noun, Suru verb, Transitive verb, Intransitive verb
応援;おうえん;ouen;aid, assistance, help;Noun, Suru verb, Transitive verb
往復;おうふく;oufuku;making a round trip;Noun, Suru verb, Intransitive verb
王/王様;おう;ou/ousama;king, ruler;Noun, Noun, used as a suffix
横断;おうだん;oudan;crossing, traverse;Noun, Suru verb, Intransitive verb
王子;おうじ;ouji;prince;Noun
応じる;おうじる;oujiru;to respond, to comply;Ichidan verb, Intransitive verb
応用;おうよう;ouyou;putting to practical use​;Noun, Suru verb, Transitive verb
終;おわり;owari;the end;Noun
及ぼす;およぼす;oyobosu;to exert, to cause;Godan verb with 'su' ending, Transitive verb
泳ぎ;およぎ;oyogi;swimming;Noun
凡そ;およそ;oyoso;about, roughly;Adverb (fukushi)
楽;らく;raku;comfort, ease;Noun, Na-adjective (keiyodoshi)
例;れい;rei;example, case;Noun
礼儀;れいぎ;reigi;manners, courtesy;Noun
冷静;れいせい;reisei;calm, composure;Noun, Na-adjective (keiyodoshi)
連絡先;れんらくさき;renrakusaki;contact address​;Noun
練習;れんしゅう;renshuu;practice, practicing;Noun, Suru verb, Transitive verb
連想;れんそう;rensou;association of ideas;Noun, Suru verb, Transitive verb
連続;れんぞく;renzoku;serial, consecutive;Noun, Suru verb, Transitive verb, Intransitive verb
列車;れっしゃ;ressha;train (ordinary);Noun
列;れつ;retsu;queue, line;Noun
利益;りえき;rieki;profit, gains;Noun
理解;りかい;rikai;understanding, comprehension;Noun, Suru verb, Transitive verb
離婚;りこん;rikon;divorce;Noun, Suru verb, Intransitive verb
利口;りこう;rikou;clever, intelligent;Na-adjective (keiyodoshi), Noun
立派;りっぱ;rippa;splendid, fine;Na-adjective (keiyodoshi)
理想;りそう;risou;ideal;Noun, Noun which may take the genitive case particle 'no'
率;りつ;ritsu;rate, ratio;Noun, Noun, used as a suffix
利用者;りようしゃ;riyousha;user, consumer​;Noun
論文;ろんぶん;ronbun;thesis, essay;Noun
論じる;ろんじる;ronjiru;to argue, to debate;Ichidan verb, Transitive verb
論争;ろんそう;ronsou;controversy, dispute;Noun, Suru verb, Intransitive verb
労働;ろうどう;roudou;manual labor, work;Noun, Suru verb, Intransitive verb
老人;ろうじん;roujin;the aged, old person;Noun
量;りょう;ryou;quantity, amount;Noun, Noun, used as a suffix
両替;りょうがえ;ryougae;change, money exchange;Noun, Suru verb, Transitive verb
料金;りょうきん;ryoukin;fee, charge, fare;Noun
領収書;りょうしゅうしょ;ryoushuusho;hand-written receipt​;Noun
留学;りゅうがく;ryuugaku;studying abroad;Noun, Suru verb, Intransitive verb
流行;りゅうこう;ryuukou;fashion, vogue;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
差;さ;sa;difference, variation;Noun, Noun, used as a suffix
砂漠;さばく;sabaku;desert;Noun
差別;さべつ;sabetsu;discrimination;Noun, Suru verb, Transitive verb
作業;さぎょう;sagyou;work, operation;Noun, Suru verb, Intransitive verb
作法;さほう;sahou;manners, etiquette;Noun;манеры, поведение, этикет
裁判;さいばん;saiban;trial, judgement;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
最上;さいじょう;saijou;best;Noun which may take the genitive case particle 'no', Noun
参加者;さんかしゃ;sankasha;participant, entrant​;Noun;участник
最高;さいこう;saikou;highest, supreme;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;максимум, ~[no] наивысший, максимальный; верховный, воскл. отлично!, классно!, лучше не бывает
才能;さいのう;sainou;talent, ability;Noun;талант, дар, способности, ~no aru талантливый, одарённый
最終;さいしゅう;saishuu;last, final;Noun which may take the genitive case particle 'no', Noun;~[no] последний, заключительный, окончательный
最低;さいてい;saitei;least, lowest, worst;Noun which may take the genitive case particle 'no', Na-adjective (keiyodoshi), Noun;~[no] самый низкий, минимальный, ~de как минимум, самое меньшее, разг. подлый, низкий, отвратительный
幸い;さいわい;saiwai;happiness, luckily;Na-adjective (keiyodoshi), Noun;счастье, благополучие, удача
境;さかい;sakai;border, boundery;Noun;граница
逆らう;さからう;sakarau;to go against, to oppose;Godan verb with 'u' ending, Intransitive verb
盛り;さかり;sakari;peak, height;Noun, Noun, used as a suffix
叫ぶ;さけぶ;sakebu;to shout, to cry;Godan verb with 'bu' ending, Intransitive verb
避ける;さける;sakeru;to avoid, to ward off;Ichidan verb, Transitive verb
作家;さっか;sakka;author, writer;Noun
作曲;さっきょく;sakkyoku;composition;Noun, Suru verb, Transitive verb, Intransitive verb
作品;さくひん;sakuhin;work, production;Noun
作物;さくもつ;sakumotsu;produce, crops;Noun
桜;さくら;sakura;cherry blossom;Noun
覚ます;さます;samasu;to awaken;Godan verb with 'su' ending, Transitive verb
覚める;さめる;sameru;to wake up;Ichidan verb, Intransitive verb
様々;さまざま;samazama;varied, various;Na-adjective (keiyodoshi), Noun
参加;さんか;sanka;participation;Noun, Suru verb, Intransitive verb
参考;さんこう;sankou;reference, consultation;Noun
賛成;さんせい;sansei;approval, agreement;Noun, Suru verb, Intransitive verb, Noun which may take the genitive case particle 'no'
酸素;さんそ;sanso;oxygen;Noun
更に;さらに;sara ni;furthermore, again;Adverb (fukushi), Conjunction
去る;さる;saru;to leave, to go away;Godan verb with 'ru' ending, Intransitive verb
猿;さる;saru;monkey;Noun
支える;ささえる;sasaeru;to support, to prop;Ichidan verb, Transitive verb
誘う;さそう;sasou;to invite, to call for;Godan verb with 'u' ending, Transitive verb
指す;さす;sasu;to point, to indicate;Godan verb with 'su' ending, Transitive verb
偖;さて;sate;well, now, then;Conjunction
札;さつ;satsu;note, paper money;Noun, Noun, used as a suffix
騒ぎ;さわぎ;sawagi;uproar, disturbance;Noun, Noun, used as a suffix
左右;さゆう;sayuu;left and right, control;Noun
正;せい;sei;true, regular;Noun, Noun which may take the genitive case particle 'no'
性;せい;sei;gender;Noun
所為;せい;sei;consequence, result, blame;Noun
製;せい;sei;-made, make​;Noun, used as a suffix, Noun
性別;せいべつ;seibetsu;gender;Noun
生物;せいぶつ;seibutsu;living things;Noun
成長;せいちょう;seichou;growth, grow to adulthood;Noun, Suru verb, Intransitive verb
制度;せいど;seido;system, institution;Noun, Noun which may take the genitive case particle 'no'
政府;せいふ;seifu;government, administration;Noun
制服;せいふく;seifuku;uniform;Noun
制限;せいげん;seigen;restriction, restraint;Noun, Suru verb, Transitive verb
製品;せいひん;seihin;manufactured goods;Noun
政治家;せいじか;seijika;politician, statesman​;Noun
成人;せいじん;seijin;adult;Noun
正常;せいじょう;seijou;normalcy, normality;Na-adjective (keiyodoshi), Noun
正解;せいかい;seikai;correct, right;Noun, Suru verb, Transitive verb, Intransitive verb
性格;せいかく;seikaku;character, personality;Noun
正確;せいかく;seikaku;accurate, punctual;Na-adjective (keiyodoshi), Noun
清潔;せいけつ;seiketsu;clean, sanitary;Na-adjective (keiyodoshi), Noun
世紀;せいき;seiki;century, era;Noun
成功;せいこう;seikou;success, hit;Noun, Suru verb, Intransitive verb
請求;せいきゅう;seikyuu;claim, demand, charge;Noun, Suru verb, Transitive verb
生命;せいめい;seimei;life, existence;Noun
青年;せいねん;seinen;youth, young man;Noun
整理;せいり;seiri;sorting, arrangement;Noun, Suru verb, Transitive verb
生産;せいさん;seisan;production, manufacture;Noun, Suru verb, Transitive verb
成績;せいせき;seiseki;results, grade;Noun
正式;せいしき;seishiki;official, formality;Na-adjective (keiyodoshi), Noun which may take the genitive case particle 'no', Noun
精神;せいしん;seishin;spirit, heart, mind;Noun
精々;せいぜい;seizei;at the most, at best;Adverb (fukushi)
製造;せいぞう;seizou;manufacture, production;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
世間;せけん;seken;world, society;Noun
咳;せき;seki;cough;Noun
責任;せきにん;sekinin;duty, responsibility;Noun
石炭;せきたん;sekitan;coal;Noun
石油;せきゆ;sekiyu;oil, petroleum;Noun
設計;せっけい;sekkei;plan, design, layout;Noun, Suru verb, Transitive verb
積極的;せっきょくてき;sekkyokuteki;assertive, positive;Na-adjective (keiyodoshi)
責める;せめる;semeru;to blame, to condemn;Ichidan verb, Transitive verb
宣伝;せんでん;senden;publicity, advertisement;Noun, Suru verb, Transitive verb
先日;せんじつ;senjitsu;the other day;Noun, Adverb (fukushi)
専攻;せんこう;senkou;major subject;Noun, Suru verb, Transitive verb, Noun which may take the genitive case particle 'no'
専門;せんもん;senmon;specialty, area of expertise​;Noun
専門家;せんもんか;senmonka;specialist, expert;Noun
選手;せんしゅ;senshu;player, team member;Noun
選択;せんたく;sentaku;selection, choice;Noun, Suru verb, Transitive verb
説;せつ;setsu;theory;Noun, Noun, used as a suffix
設備;せつび;setsubi;equipment, device;Noun, Suru verb, Transitive verb
説明会;せつめいかい;setsumeikai;information session, briefing;Noun
節約;せつやく;setsuyaku;economizing, saving;Noun, Suru verb, Transitive verb
喋る;しゃべる;shaberu;to talk, to chat;Godan verb with 'ru' ending, Transitive verb, Intransitive verb
車道;しゃどう;shadou;roadway;Noun
社員;しゃいん;shain;company employee​;Noun
借金;しゃっきん;shakkin;debt, loan, liabilities;Noun, Suru verb, Transitive verb
詩;し;shi;poem;Noun
幸せ;しあわせ;shiawase;happiness, good fortune;Noun, Na-adjective (keiyodoshi)
芝居;しばい;shibai;play, drama;Noun
芝生;しばふ;shibafu;lawn;Noun
縛る;しばる;shibaru;to tie, to bind, to fasten​;Godan verb with 'ru' ending, Transitive verb
屡々;しばしば;shibashiba;often, again and again;Adverb (fukushi)
死亡;しぼう;shibou;death, mortality;Noun, Suru verb, Intransitive verb
次第に;しだいに;shidai ni;gradually, in sequence;Adverb (fukushi)
指導;しどう;shidou;leadership, guidance;Noun, Suru verb, Transitive verb
指導者;しどうしゃ;shidousha;leader, guide;Noun
刺激;しげき;shigeki;stimulus, impetus;Noun, Suru verb, Transitive verb
資源;しげん;shigen;resources;Noun
支配;しはい;shihai;domination, rule;Noun, Suru verb, Transitive verb
支払い;しはらい;shiharai;payment;Noun
支払う;しはらう;shiharau;to pay;Godan verb with 'u' ending, Transitive verb
始発;しはつ;shihatsu;first train, first bus;Noun
資本;しほん;shihon;funds, capital;Noun
詩人;しじん;shijin;poet;Noun
然も;しかも;shika mo;moreover, furthermore;Conjunction
式;しき;shiki;equation, ceremony, style;Noun, Noun, used as a suffix
頻りに;しきりに;shikiri ni;frequently, repeatedly;Adverb (fukushi)
湿気;しっけ;shikke;moisture, humidity, dampness​;Noun
支給;しきゅう;shikyuu;provision, supply;Noun, Suru verb, Transitive verb
姉妹;しまい;shimai;sisters;Noun
仕舞う;しまう;shimau;to finish, to stop;Godan verb with 'u' ending, Transitive verb
締め切り;しめきり;shimekiri;deadline, closing;Noun
占める;しめる;shimeru;to occupy, to hold;Ichidan verb, Transitive verb
締める;しめる;shimeru;to tie, to fasten, to tighten;Ichidan verb, Transitive verb
示す;しめす;shimesu;to show, to indicate;Godan verb with 'su' ending, Transitive verb
霜;しも;shimo;frost;Noun
品;ひん;shina;article, item, goods;Noun
身長;しんちょう;shinchou;height (of body), stature;Noun
慎重;しんちょう;shinchou;careful, cautious, prudent;Na-adjective (keiyodoshi), Noun
進学;しんがく;shingaku;entering a higher-level school;Noun, Suru verb, Intransitive verb
信号;しんごう;shingou;signal, traffic light;Noun, Suru verb, Intransitive verb
信じる;しんじる;shinjiru;to believe, to trust;Ichidan verb, Transitive verb
新幹線;しんかんせん;shinkansen;Shinkansen, bullet train​;Noun
神経;しんけい;shinkei;nerve, sensitivity;Noun
真剣;しんけん;shinken;seriousness, earnestness;Na-adjective (keiyodoshi)
深刻;しんこく;shinkoku;serious, severe;Na-adjective (keiyodoshi), Noun
信仰;しんこう;shinkou;faith, belief;Noun, Suru verb, Transitive verb
信念;しんねん;shinnen;belief, faith, conviction;Noun
新入生;しんにゅうせい;shinnyuusei;new student, freshman;Noun
審判;しんぱん;shinpan;refereeing, trial;Noun, Suru verb, Transitive verb
進歩;しんぽ;shinpo;progress, advance;Noun, Suru verb, Intransitive verb
信頼;しんらい;shinrai;reliance, trust;Noun, Suru verb, Transitive verb
心理;しんり;shinri;state of mind, mentality;Noun
森林;しんりん;shinrin;forest, woods​;Noun, Noun which may take the genitive case particle 'no'
診察;しんさつ;shinsatsu;medical examination;Noun, Suru verb, Transitive verb
親戚;しんせき;shinseki;relative, relation;Noun
新鮮;しんせん;shinsen;fresh;Na-adjective (keiyodoshi)
信用;しんよう;shin’you;confidence, credit;Noun, Suru verb, Transitive verb
親友;しんゆう;shin’yuu;close friend;Noun
心臓;しんぞう;shinzou;heart, guts, nerve;Noun
調べ物;しらべもの;shirabemono;matter to be checked or investigated​;Noun
知らせ;しらせ;shirase;news, notice;Noun
尻;しり;shiri;buttocks, bottom;Noun
知り合い;しりあい;shiriai;acquaintance;Noun
知り合う;しりあう;shiriau;to get to know (someone);Godan verb with 'u' ending, Intransitive verb
城;しろ;shiro;castle;Noun
印;しるし;shirushi;seal, stamp, mark;Noun
資料;しりょう;shiryou;materials, data, document​;Noun
姿勢;しせい;shisei;posture, attitude;Noun
試食;ししょく;shishoku;sampling food​;Noun, Suru verb, Transitive verb
支出;ししゅつ;shishutsu;expenditure;Noun, Suru verb, Transitive verb
思想;しそう;shisou;thought, idea;Noun
舌;した;shita;tongue;Noun
従う;したがう;shitagau;to abide (by the rules);Godan verb with 'u' ending, Intransitive verb
親しい;したしい;shitashii;intimate, close;I-adjective (keiyoushi)
指定;してい;shitei;assignment, appointment;Noun, Suru verb, Transitive verb
支店;してん;shiten;branch office;Noun
質;しつ;shitsu;quality, value;Noun, Noun, used as a suffix
失望;しつぼう;shitsubou;disappointment, despair;Noun, Suru verb, Intransitive verb
湿度;しつど;shitsudo;level of humidity​;Noun
失業;しつぎょう;shitsugyou;unemployment;Noun
